Indicator,Disaggregation combinations using this value
#1-1-1,14
#1-2-1,15
#1-2-2,14
#1-3-1,4
#1-4-2,306
#1-5-1,1
#1-a-1,55
#1-a-2,2
#1-b-1,1
#10-1-1,1
#10-3-1,22
#10-4-1,1
#10-7-4,4
#11-1-1,2
#11-5-1,1
#11-6-1,1
#11-6-2,1
#12-3-1,7
#12-a-1,1
#13-1-1,1
#13-2-2,6
#14-1-1,1
#14-4-1,9
#14-5-1,18
#14-6-1,1
#15-1-1,1
#15-3-1,1
#15-5-1,1
#16-1-1,1
#16-1-3,10
#16-1-4,5
#16-3-1,3
#16-3-2,1
#16-4-2,1
#16-5-1,3
#16-5-2,2
#16-6-1,1
#16-9-1,1
#16-a-1,7
#17-1-1,1
#17-1-2,1
#17-3-1,2
#17-3-2,1
#17-4-1,1
#17-6-1,3
#17-8-1,15
#2-1-2,26
#2-2-1,10
#2-2-2,3
#2-a-1,3
#2-a-2,1
#3-1-1,13
#3-1-2,39
#3-2-1,1
#3-2-2,1
#3-3-1,2
#3-3-2,1
#3-3-3,1
#3-4-2,51
#3-6-1,1
#3-7-1,1
#3-7-2,1
#3-c-1,2
#4-1-1,54
#4-1-2,2
#4-2-1,12
#4-2-2,1
#4-3-1,23
#4-5-1,44
#4-6-1,12
#4-a-1,8
#4-c-1,22
#5-2-1,7
#5-3-1,2
#5-3-2,3
#5-4-1,5
#5-5-1,3
#5-b-1,10
#6-1-1,21
#6-2-1,12
#6-3-1,12
#6-3-2,2
#6-4-2,1
#6-5-1,1
#7-1-1,51
#7-1-2,51
#7-2-1,1
#8-1-1,1
#8-10-1,2
#8-10-2,1
#8-3-1,3
#8-5-1,3
#8-5-2,18
#8-6-1,3
#8-7-1,10
#9-1-2,9
#9-2-1,2
#9-2-2,85
#9-4-1,3
#9-5-1,1
#9-c-1,3
