Year,REF_AREA,COMPOSITE_BREAKDOWN,GeoCode,Value
2017,,_L_GH_DISCRIMINATED,,95.6
2017,,_L_GH_NOT_DISCRIMINATED,,4.4
2017,01_o,_L_GH_DISCRIMINATED,01_o,95.0
2017,01_o,_L_GH_NOT_DISCRIMINATED,01_o,5.0
2017,02_o,_L_GH_DISCRIMINATED,02_o,97.2
2017,02_o,_L_GH_NOT_DISCRIMINATED,02_o,2.8
2017,03_o,_L_GH_DISCRIMINATED,03_o,97.4
2017,03_o,_L_GH_NOT_DISCRIMINATED,03_o,2.6
2017,04_o,_L_GH_DISCRIMINATED,04_o,97.9
2017,04_o,_L_GH_NOT_DISCRIMINATED,04_o,2.1
2017,05_o,_L_GH_DISCRIMINATED,05_o,95.5
2017,05_o,_L_GH_NOT_DISCRIMINATED,05_o,4.5
2017,06_o,_L_GH_DISCRIMINATED,06_o,93.3
2017,06_o,_L_GH_NOT_DISCRIMINATED,06_o,6.7
2017,07_o,_L_GH_DISCRIMINATED,07_o,96.2
2017,07_o,_L_GH_NOT_DISCRIMINATED,07_o,3.8
2017,08_o,_L_GH_DISCRIMINATED,08_o,95.1
2017,08_o,_L_GH_NOT_DISCRIMINATED,08_o,4.9
2017,09_o,_L_GH_DISCRIMINATED,09_o,95.7
2017,09_o,_L_GH_NOT_DISCRIMINATED,09_o,4.3
2017,10_o,_L_GH_DISCRIMINATED,10_o,95.0
2017,10_o,_L_GH_NOT_DISCRIMINATED,10_o,5.0
