Year,REF_AREA,SEX,URBANISATION,GeoCode,Value
2010,,M,,,8.9
2010,,F,,,12.7
2010,,,,,10.8
2013,,M,,,7.7
2013,,F,,,10.3
2013,,,,,9.1
2015,,M,,,8.6
2015,,F,,,17.8
2015,,,,,13.5
2021,,,,,6.7
2021,1,,,1,6.9
2021,2,,,2,6.9
2021,3,,,3,8.6
2021,4,,,4,9.7
2021,5,,,5,6.7
2021,6,,,6,6.5
2021,7,,,7,4.3
2021,8,,,8,3.6
2021,9,,,9,4.3
2021,10,,,10,5.5
2021,11,,,11,5.8
2021,12,,,12,4.2
2021,13,,,13,3.4
2021,14,,,14,2.7
2021,15,,,15,7.7
2021,16,,,16,4.3
2021,,M,,,5.9
2021,1,M,,1,5.3
2021,2,M,,2,5.3
2021,3,M,,3,9.0
2021,4,M,,4,8.4
2021,5,M,,5,5.3
2021,6,M,,6,6.6
2021,7,M,,7,2.9
2021,8,M,,8,3.6
2021,9,M,,9,3.5
2021,10,M,,10,3.6
2021,11,M,,11,3.6
2021,12,M,,12,3.4
2021,13,M,,13,2.2
2021,14,M,,14,1.4
2021,15,M,,15,4.1
2021,16,M,,16,2.5
2021,,F,,,7.7
2021,1,F,,1,8.9
2021,2,F,,2,8.7
2021,3,F,,3,8.1
2021,4,F,,4,11.1
2021,5,F,,5,8.2
2021,6,F,,6,6.5
2021,7,F,,7,6.1
2021,8,F,,8,3.7
2021,9,F,,9,5.2
2021,10,F,,10,7.9
2021,11,F,,11,8.5
2021,12,F,,12,5.2
2021,13,F,,13,5.5
2021,14,F,,14,4.7
2021,15,F,,15,11.5
2021,16,F,,16,6.5
2021,,,U,,8.1
2021,1,,U,1,9.2
2021,2,,U,2,8.3
2021,3,,U,3,8.7
2021,4,,U,4,10.1
2021,5,,U,5,7.8
2021,6,,U,6,7.8
2021,7,,U,7,7.4
2021,8,,U,8,5.4
2021,9,,U,9,5.4
2021,10,,U,10,6.7
2021,11,,U,11,7.1
2021,12,,U,12,7.1
2021,13,,U,13,8.3
2021,14,,U,14,4.6
2021,15,,U,15,7.5
2021,16,,U,16,8.3
2021,,,R,,4.7
2021,1,,R,1,4.5
2021,2,,R,2,5.1
2021,3,,R,3,7.2
2021,4,,R,4,9.4
2021,5,,R,5,5.6
2021,6,,R,6,4.6
2021,7,,R,7,3.0
2021,8,,R,8,2.1
2021,9,,R,9,2.9
2021,10,,R,10,4.1
2021,11,,R,11,5.2
2021,12,,R,12,1.6
2021,13,,R,13,1.6
2021,14,,R,14,1.9
2021,15,,R,15,7.8
2021,16,,R,16,2.5
