Year,Value,UNIT_MEASURE,SERIES
2007,8500.0,NUMBER,_L_GH_040301_4a
2007,31368.0,NUMBER,_L_GH_040301_4b
2008,1600.0,NUMBER,_L_GH_040301_4a
2008,31185.0,NUMBER,_L_GH_040301_4b
2009,1600.0,NUMBER,_L_GH_040301_4a
2009,38854.0,NUMBER,_L_GH_040301_4b
2010,1600.0,NUMBER,_L_GH_040301_4a
2010,42020.0,NUMBER,_L_GH_040301_4b
2011,2000.0,NUMBER,_L_GH_040301_4a
2011,50681.0,NUMBER,_L_GH_040301_4b
2013,1886.0,NUMBER,_L_GH_040301_4a
2013,44730.0,NUMBER,_L_GH_040301_4b
2015,584.0,NUMBER,_L_GH_040301_4a
2015,14029.0,NUMBER,_L_GH_040301_4b
